Gene list name:,ERI_ALL_2
CP,1356
CPAP,55835
CPE,1363
CPLANE1,65250
CPLX1,10815
CPOX,1371
CPS1,1373
CPT1A,1374
CPT2,1376
CRADD,8738
CRB2,286204
CREB3L3,84699
CREBBP,1387
CRELD1,78987
CRLS1,54675
CRPPA,729920
CSDE1,7812
CSGALNACT1,55790
CSNK1G1,53944
CSNK2A1,1457
CSNK2B,1460
CSPP1,79848
CSTB,1476
CTBP1,1487
CTCF,10664
CTDP1,9150
CTH,1491
CTNNA2,1496
CTNNB1,1499
CTNND1,1500
CTNS,1497
CTR9,9646
CTSA,5476
CTSC,1075
CTSD,1509
CTSF,8722
CTSK,1513
CTU2,348180
CUBN,8029
CUL3,8452
CUL4B,8450
CUX1,1523
CUX2,23316
CWC27,10283
CWF19L1,55280
CYB5R3,1727
CYC1,1537
CYFIP2,26999
CYP27A1,1593
CYP7B1,9420
D2HGDH,728294
DAG1,1605
DAGLA,747
DARS1,1615
DARS2,55157
DBH,1621
DBT,1629
DCAF17,80067
DCHS1,8642
DCPS,28960
DCX,1641
DCXR,51181
DDB1,1642
DDC,1644
DDHD2,23259
DDOST,1650
DDX11,1663
DDX17,10521
DDX23,9416
DDX3X,1654
DDX59,83479
DDX6,1656
DEAF1,10522
DEGS1,8560
DENND5B,160518
DEPDC5,9681
DGUOK,1716
DHCR24,1718
DHCR7,1717
DHDDS,79947
DHFR,1719
DHODH,1723
DHPS,1725
DHRSX,207063
DHTKD1,55526
DHX30,22907
DHX37,57647
DHX9,1660
DIAPH1,1729
DIS3L2,129563
DKC1,1736
DLAT,1737
DLD,1738
DLG3,1741
DLG4,1742
DLL1,28514
DMD,1756
DMPK,1760
DMXL2,23312
DNA2,1763
DNAJC12,56521
DNAJC19,131118
DNAJC5,80331
DNM1,1759
DNM1L,10059
DNM2,1785
DNMT3A,1788
DNMT3B,1789
DOCK3,1795
DOCK4,9732
DOCK6,57572
DOCK7,85440
DOHH,83475
DOLK,22845
DPAGT1,1798
DPF2,5977
DPH1,1801
DPH5,51611
DPM1,8813
DPM2,8818
DPM3,54344
DPYD,1806
DPYS,1807
DPYSL5,56896
DTYMK,1841
DYM,54808
DYNC1H1,1778
DYRK1A,1859
EARS2,124454
EBF3,253738
EBP,10682
ECHS1,1892
EDEM3,80267
EED,8726
EEF1A2,1917
EFTUD2,9343
EHBP1L1,254102
EHMT1,79813
EIF2AK2,5610
EIF2AK3,9451
EIF2S3,1968
EIF3F,8665
EIF4A2,1974
EIF4A3,9775
EIF5A,1984
ELAC2,60528
ELOVL4,6785
ELP2,55250
EMC1,23065
EMC10,284361
EML1,2009
EMX2,2018
ENO3,2027
ENTPD1,953
EOGT,285203
EP300,2033
EPG5,57724
EPM2A,7957
ERBB4,2066
ERCC1,2067
ERCC2,2068
ERCC3,2071
ERCC5,2073
ERCC6,2074
ERCC6L2,375748
ERCC8,1161
ERI1,90459
ERLIN2,11160
ESAM,90952
ESCO2,157570
ETFA,2108
ETFB,2109
ETFDH,2110
ETHE1,23474
EXOSC3,51010
EXT1,2131
EXT2,2132
EXTL3,2137
EZH1,2145
EZH2,2146
FA2H,79152
FAH,2184
FAM177A1,283635
FAM20C,56975
FAM50A,9130
FAR1,84188
FARS2,10667
FARSA,2193
FASTKD2,22868
FAT4,79633
FBP1,2203
FBRSL1,57666
FBXL3,26224
FBXL4,26235
FBXO11,80204
FBXO28,23219
FBXO31,79791
FBXW11,23291
FBXW7,55294
FCSK,197258
FDX2,112812
FDXR,2232
FECH,2235
FEM1B,10116
FGD1,2245
FGF12,2257
FGFR2,2263
FH,2271
FIBP,9158
FIG4,9896
FILIP1,27145
FKRP,79147
FKTN,2218
FLAD1,80308
FLVCR2,55640
FMN2,56776
FMO3,2328
FMR1,2332
FOLR1,2348
FOSL2,2355
FOXG1,2290
FOXP1,27086
FOXP2,93986
FOXRED1,55572
FRA10AC1,118924
FRMD5,84978
FRMPD4,9758
FTCD,10841
FTSJ1,24140
FUCA1,2517
FUT8,2530
FXN,2395
FZR1,51343
G6PC1,2538
G6PC3,92579
GAA,2548
GABBR2,9568
GABRA1,2554
GABRA2,2555
GABRA5,2558
GABRB2,2561
GABRB3,2562
GABRD,2563
GABRG2,2566
GAD1,2571
GALC,2581
GALE,2582
GALK1,2584
GALM,130589
GALNS,2588
GALNT2,2590
GALNT3,2591
GALT,2592
GAMT,2593
GAN,8139
GARS1,2617
GATAD2B,57459
GATM,2628
GBA1,2629
GBE1,2632
GCDH,2639
GCH1,2643
GCLC,2729
GCSH,2653
GDAP1,54332
GDI1,2664
GEMIN4,50628
GEMIN5,25929
GFAP,2670
GFER,2671
GFM1,85476
GFM2,84340
GFPT1,2673
GJC2,57165
GK,2710
GLA,2717
GLB1,2720
GLDC,2731
GLI2,2736
GLIS3,169792
GLRA1,2741
GLRA2,2742
GLRX5,51218
GLS,2744
GLUD1,2746
GLUL,2752
GLYCTK,132158
GM2A,2760
GMPPA,29926
GMPPB,29925
GNAI1,2770
GNAI2,2771
GNAO1,2775
GNAS,2778
GNB1,2782
GNB2,2783
GNB5,10681
GNE,10020
GNMT,27232
GNPAT,8443
GNPTAB,79158
GNPTG,84572
GNS,2799
GORAB,92344
GPAA1,8733
GPC3,2719
GPC4,2239
GPD1,2819
GPHN,10243
GPIHBP1,338328
GPT2,84706
GRHPR,9380
GRIA1,2890
GRIA2,2891
GRIA3,2892
GRIA4,2893
GRID2,2895
GRIK2,2898
GRIN1,2902
GRIN2A,2903
GRIN2B,2904
GRIN2D,2906
GRM1,2911
GRM7,2917
GRN,2896
GSS,2937
GSTZ1,2954
GTF2E2,2961
GTF2H5,404672
GTF3C5,9328
GTPBP2,54676
GTPBP3,84705
GUSB,2990
GYG1,2992
GYS1,2997
GYS2,2998
H1-4,3008
H4C3,8364
H4C5,8367
HAAO,23498
HACE1,57531
HADH,3033
HADHA,3030
HADHB,3032
HAMP,57817
HARS2,23438
HCCS,3052
HCFC1,3054
HCN1,348980
HDAC3,8841
HDAC4,9759
HDAC8,55869
HECTD4,283450
HECW2,57520
HEPACAM,220296
HERC1,8925
HERC2,8924
HESX1,8820
HEXA,3073
HEXB,3074
HFE,3077
HGD,3081
HGSNAT,138050
HIBCH,26275
HID1,283987
HIVEP2,3097
HJV,148738
HK1,3098
HLCS,3141
HMBS,3145
HMGB1,3146
HMGCL,3155
HMGCS2,3158
HNMT,3176
HNRNPH1,3187
HNRNPH2,3188
HNRNPK,3190
HNRNPR,10236
HNRNPU,3192
HOGA1,112817
HOXA1,3198
HPD,3242
HPDL,84842
HPRT1,3251
HPS1,3257
HRAS,3265
HS2ST1,9653
HSD17B10,3028
HSD17B4,3295
HSD3B7,80270
HSPA9,3313
HSPD1,3329
HTRA2,27429
HUWE1,10075
HYAL1,3373
HYCC1,84668
IARS1,3376
IARS2,55699
IBA57,200205
IDH2,3418
IDS,3423
IDUA,3425
IER3IP1,51124
IFIH1,64135
IFT172,26160
IGF1,3479
IGF1R,3480
IKBKG,8517
IL1RAPL1,11141
IMPDH2,3615
INPP5E,56623
INPP5K,51763
INTS1,26173
INTS11,54973
IQSEC2,23096
IREB2,3658
IRF2BPL,64207
IRX5,10265
ISCA1,81689
ISCA2,122961
ISCU,23479
ITPA,3704
ITPR1,3708
ITSN1,6453
IVD,3712
JAM3,83700
JARID2,3720
KANSL1,284058
KARS1,3735
KAT5,10524
KAT6A,7994
KAT6B,23522
KAT8,84148
KCNA2,3737
KCNA3,3738
KCNB1,3745
KCNB2,9312
KCNC1,3746
KCNC2,3747
KCND2,3751
KCNH1,3756
KCNH5,27133
KCNJ10,3766
KCNJ11,3767
KCNJ6,3763
KCNK3,3777
KCNK9,51305
KCNMA1,3778
KCNN2,3781
KCNN3,3782
KCNQ2,3785
KCNQ3,3786
KCNQ5,56479
KCNT1,57582
KCNT2,343450
KCTD3,51133
KCTD7,154881
KDM1A,23028
KDM2B,84678
KDM3B,51780
KDM4B,23030
KDM5A,5927
KDM5B,10765
KDM5C,8242
KDM6A,7403
KDM6B,23135
KIAA0586,9786
KIDINS220,57498
KIF11,3832
KIF14,9928
KIF1A,547
KIF21B,23046
KIF2A,3796
KIF4A,24137
KIF5A,3798
KIF5C,3800
KIF7,374654
KIFBP,26128
KIRREL3,84623
KLF7,8609
KLHL20,27252
KLHL7,55975
KMT2A,4297
KMT2B,9757
KMT2C,58508
KMT2D,8085
KMT2E,55904
KMT5B,51111
KNL1,57082
KPTN,11133
KRAS,3845
KYNU,8942
L1CAM,3897
L2HGDH,79944
LAMA1,284217
LAMA2,3908
LAMB1,3912
LAMC3,10319
LAMP2,3920
LARGE1,9215
LARP7,51574
LARS1,51520
LARS2,23395
LBR,3930
LCAT,3931
LCT,3938
LDHA,3939
LDLR,3949
LDLRAP1,26119
LETM1,3954
LFNG,3955
LGI3,203190
LHX2,9355
LIAS,11019
LIG4,3981
LINGO4,339398
LINS1,55180
LIPA,3988
LIPT1,51601
LIPT2,387787
LMBRD1,55788
LMBRD2,92255
LMF1,64788
LMNB1,4001
LONP1,9361
LPIN1,23175
LPL,4023
LRP2,4036
LRPPRC,10128
LRRC7,57554
LSS,4047
LYRM4,57128
LYRM7,90624
LZTR1,8216
MAB21L1,4081
MAB21L2,10586
MACF1,23499
MADD,8567
MAF,4094
MAGEL2,54551
MAGT1,84061
MAN1B1,11253
MAN2B1,4125
MAN2C1,4123
MANBA,4126
MAOA,4128
MAP1B,4131
MAP2K1,5604
MAP2K2,5605
MAPK1,5594
MAPK8IP3,23162
MAPKAPK5,8550
MAPRE2,10982
MARK2,2011
MARS2,92935
MASP1,5648
MAST1,22983
MAST3,23031
MAST4,375449
MAT1A,4143
MBD5,55777
MBOAT7,79143
MBTPS2,51360
MCCC1,56922
MCCC2,64087
MCEE,84693
MCM3AP,8888
MCOLN1,57192
MCPH1,79648
MDH2,4191
MECP2,4204
MECR,51102
MED11,400569
MED12,9968
MED13,9969
MED13L,23389
MED17,9440
MED23,9439
MED25,81857
MED27,9442
MEF2C,4208
MEIS2,4212
METTL23,124512
METTL5,29081
MFF,56947
MFN2,9927
MFSD2A,84879
MFSD8,256471
MGAT2,4247
MGME1,92667
MICOS13,125988
MICU1,10367
MID1,4281
MINPP1,9562
MIPEP,4285
MKKS,8195
MKS1,54903
MLC1,23209
MLYCD,23417
MMAA,166785
MMAB,326625
MMACHC,25974
MMADHC,27249
MMUT,4594
MN1,4330
MOCS1,4337
MOCS2,4338
MOGS,7841
MORC2,22880
MPC1,51660
MPDU1,9526
MPI,4351
MPLKIP,136647
MPV17,4358
MRM2,29960
MRPL3,11222
MRPL44,65080
MRPS2,51116
MRPS22,56945
MRPS34,65993
MSL2,55167
MSL3,10943
MSMO1,6307
MSTO1,55154
MT-ATP6,4508
MT-ATP8,4509
MT-CO1,4512
MT-CO2,4513
MT-CO3,4514
MT-CYB,4519
MT-ND1,4535
MT-ND2,4536
MT-ND3,4537
MT-ND4,4538
MT-ND4L,4539
MT-ND5,4540
MT-ND6,4541
MT-RNR1,4549
MT-TA,4553
MT-TC,4511
MT-TD,4555
MT-TE,4556
MT-TF,4558
MT-TG,4563
MT-TH,4564
MT-TI,4565
MT-TK,4566
MT-TL1,4567
MT-TL2,4568
MT-TM,4569
MT-TN,4570
MT-TP,4571
MT-TQ,4572
MT-TR,4573
MT-TS1,4574
MT-TS2,4575
MT-TT,4576
MT-TV,4577
MT-TW,4578
MT-TY,4579
MTFMT,123263
MTHFR,4524
MTHFS,10588
MTO1,25821
MTOR,2475
MTPAP,55149
MTR,4548
MTRFR,91574
MTRR,4552
MTSS2,92154
MTTP,4547
MVK,4598
MYCN,4613
MYH10,4628
MYO5A,4644
MYT1L,23040
NAA10,8260
NAA15,80155
NACC1,112939
NADK2,133686
NAGA,4668
NAGLU,4669
NAGS,162417
NALCN,259232
NANS,54187
NAPB,63908
NARS1,4677
NARS2,79731
NAXD,55739
NAXE,128240
NBEA,26960
NCDN,23154
NCKAP1,10787
NDE1,54820
NDP,4693
NDST1,3340
NDUFA1,4694
NDUFA10,4705
NDUFA11,126328
NDUFA12,55967
NDUFA13,51079
NDUFA2,4695
NDUFA6,4700
NDUFA8,4702
NDUFA9,4704
NDUFAF1,51103
NDUFAF2,91942
NDUFAF3,25915
NDUFAF4,29078
NDUFAF5,79133
NDUFAF6,137682
NDUFAF8,284184
NDUFB10,4716
NDUFB11,54539
NDUFB3,4709
NDUFB8,4714
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS6,4726
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV2,4729
NEDD4L,23327
NEMF,9147
NEU1,4758
NEUROD2,4761
NEUROG1,4762
NEXMIF,340533
NF1,4763
NFASC,23114
NFIA,4774
NFIB,4781
NFIX,4784
NFS1,9054
NFU1,27247
NGLY1,55768
NHLRC1,378884
NHS,4810
NIPBL,25836
NKAP,79576
NKX2-1,7080
NLGN3,54413
NLGN4X,57502
NNT,23530
NONO,4841
NOVA2,4858
NPC1,4864
NPC2,10577
NPHP1,4867
NR2F1,7025
NR2F2,7026
NR4A2,4929
NRAS,4893
NRCAM,4897
NRROS,375387
NRXN1,9378
NSD1,64324
NSD2,7468
NSDHL,50814
NSRP1,84081
NSUN2,54888
NSUN3,63899
NT5C2,22978
NT5C3A,51251
NT5E,4907
NTNG2,84628
NTRK1,4914
NTRK2,4915
NUBPL,80224
NUDT2,318
NUP214,8021
NUS1,116150
OAT,4942
OCLN,100506658
OCRL,4952
ODC1,4953
OFD1,8481
OGDH,4967
OGDHL,55753
OGT,8473
OPA1,4976
OPA3,80207
OPHN1,4983
OSGEP,55644
OTC,5009
OTUD5,55593
OTUD6B,51633
OTUD7A,161725
OTX2,5015
OXCT1,5019
OXR1,55074
P4HTM,54681
PABPC1,26986
PACS1,55690
PACS2,23241
PAFAH1B1,5048
PAH,5053
PAK1,5058
PAK3,5063
PALS1,64398
PAN2,9924
PANK2,80025
PARN,5073
PARS2,25973
PAX8,7849
PBX1,5087
PC,5091
PCBD1,5092
PCCA,5095
PCCB,5096
PCDH12,51294
PCDH19,57526
PCDHGC4,56098
PCGF2,7703
PCK1,5105
PCNT,5116
PCSK9,255738
PCYT2,5833
PDE4D,5144
PDGFRB,5159
PDHA1,5160
PDHB,5162
PDHX,8050
PDK3,5165
PDP1,54704
PDSS1,23590
PDSS2,57107
PDZD8,118987
PEPD,5184
PET100,100131801
PEX1,5189
PEX10,5192
PEX11B,8799
PEX12,5193
PEX13,5194
PEX14,5195
PEX16,9409
PEX19,5824
PEX2,5828
PEX26,55670
PEX3,8504
PEX5,5830
PEX6,5190
PEX7,5191
PFKM,5213
PGAM2,5224
PGAP1,80055
PGAP2,27315
PGAP3,93210
PGK1,5230
PGM1,5236
PGM2L1,283209
PGM3,5238
PHACTR1,221692
PHF21A,51317
PHF6,84295
PHF8,23133
PHGDH,26227
PHIP,55023
PHKA1,5255
PHKA2,5256
PHKB,5257
PHKG2,5261
PHYH,5264
PI4K2A,55361
PI4KA,5297
PIBF1,10464
PIDD1,55367
PIGA,5277
PIGB,9488
PIGC,5279
PIGG,54872
PIGH,5283
PIGK,10026
PIGL,9487
PIGM,93183
PIGN,23556
PIGO,84720
PIGP,51227
PIGQ,9091
PIGS,94005
PIGT,51604
PIGU,128869
PIGV,55650
PIGW,284098
PIK3CA,5290
PIK3R2,5296
PINK1,65018
PIP5K1C,23396
PITRM1,10531
PLA2G6,8398
PLAA,9373
PLCB1,23236
PLEKHG2,64857
PLK1,5347
PLK4,10733
PLP1,5354
PLPBP,11212
PLXNA1,5361
PLXNB2,23654
PMM2,5373
PMPCA,23203
PMPCB,9512
PNKP,11284
PNP,4860
PNPLA2,57104
PNPLA6,10908
PNPLA8,50640
PNPO,55163
PNPT1,87178
POGZ,23126
POLA1,5422
POLG,5428
POLG2,11232
POLR1C,9533
POLR2A,5430
POLR3A,11128
POLR3B,55703
POLRMT,5442
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
POR,5447
PORCN,64840
POU3F2,5454
POU3F3,5455
PPA2,27068
PPFIBP1,8496
PPIL1,51645
PPM1D,8493
PPOX,5498
PPP1CB,5500
PPP1R12A,4659
PPP1R15B,84919
PPP1R21,129285
PPP1R3F,89801
PPP2CA,5515
PPP2R1A,5518
PPP2R5D,5528
PPP3CA,5530
PPT1,5538
PQBP1,10084
PRDM13,59336
PRICKLE2,166336
PRKAG2,51422
PRKAR1B,5575
PRMT7,54496
PRODH,5625
PRPF8,10594
PRPS1,5631
PRR12,57479
PRSS12,8492
PRUNE1,58497
PSAP,5660
PSAT1,29968
PSMC3,5702
PSMC5,5705
PSMD12,5718
PSPH,5723
PTCD3,55037
PTCH1,5727
PTCHD1,139411
PTDSS1,9791
PTEN,5728
PTF1A,256297
PTPN11,5781
PTPN23,25930
PTPN4,5775
PTRHD1,391356
PTS,5805
PUF60,22827
PUM1,9698
PURA,5813
PUS1,80324
PUS3,83480
PUS7,54517
PYCR1,5831
PYCR2,29920
PYGL,5836
PYGM,5837
QARS1,5859
QDPR,5860
QRICH1,54870
QRSL1,55278
RAB11A,8766
RAB11B,9230
RAB18,22931
RAB23,51715
RAB39B,116442
RAB3GAP1,22930
RAB3GAP2,25782
RAB5C,5878
RAC1,5879
RAC3,5881
RAD21,5885
RAF1,5894
RAI1,10743
RALA,5898
RALGAPA1,253959
RAP1B,5908
RARB,5915
RARS1,5917
RARS2,57038
RBBP5,5929
RBBP8,5932
RBCK1,10616
RBL2,5934
RBM10,8241
RBP4,5950
RBSN,64145
RELN,5649
RERE,473
RFT1,91869
RFX3,5991
RFX4,5992
RFX7,64864
RHOBTB2,23221
RIT1,6016
RLIM,51132
RMND1,55005
RNASEH1,246243
RNASEH2A,10535
RNASEH2B,79621
RNASEH2C,84153
RNASET2,8635
RNF113A,7737
RNF125,54941
RNF13,11342
RNU4-2,26834
RNU7-1,100147744
ROBO1,6091
ROGDI,79641
RORA,6095
RPGRIP1L,23322
RPIA,22934
RPL10,6134
RPS6KA3,6197
RRM2B,50484
RSRC1,51319
RTEL1,51750
RTN4IP1,84816
RTTN,25914
RXYLT1,10329
SACS,26278
SAMD9,54809
SAMHD1,25939
SAR1B,51128
SARS1,6301
SARS2,54938
SATB1,6304
SATB2,23314
SBF1,6305
SC5D,6309
SCAF4,57466
SCAMP5,192683
SCAPER,49855
SCN1A,6323
SCN2A,6326
SCN3A,6328
SCN8A,6334
SCO1,6341
SCO2,9997
SCP2,6342
SCYL1,57410
SDCCAG8,10806
SDHA,6389
SDHAF1,644096
SDHB,6390
SDHD,6392
SEC23B,10483
SEMA6B,10501
SEPHS1,22929
SEPSECS,51091
SERAC1,84947
SET,6418
SETBP1,26040
SETD1A,9739
SETD1B,23067
SETD2,29072
SETD5,55209
SETX,23064
SFXN4,119559
SGPL1,8879
SGSH,6448
SHANK1,50944
SHANK2,22941
SHANK3,85358
SHH,6469
SHMT2,6472
SHOC2,8036
SHQ1,55164
SI,6476
SIAH1,6477
SIK1,150094
SIL1,64374
SIN3A,25942
SIN3B,23309
SIX3,6496
SKI,6497
SKIC2,6499
SKIC3,9652
SLC12A2,6558
SLC12A3,6559
SLC12A5,57468
SLC12A6,9990
SLC13A3,64849
SLC13A5,284111
SLC16A1,6566
SLC16A2,6567
SLC17A5,26503
SLC18A2,6571
SLC19A2,10560
SLC19A3,80704
SLC1A1,6505
SLC1A2,6506
SLC1A4,6509
SLC22A5,6584
SLC25A1,6576
SLC25A12,8604
SLC25A13,10165
SLC25A15,10166
SLC25A19,60386
SLC25A20,788
SLC25A22,79751
SLC25A26,115286
SLC25A3,5250
SLC25A32,81034
SLC25A38,54977
SLC25A4,291
SLC25A42,284439
SLC25A46,91137
SLC2A1,6513
SLC2A2,6514
SLC30A10,55532
SLC30A9,10463
SLC32A1,140679
SLC33A1,9197
SLC35A1,10559
SLC35A2,7355
SLC35C1,55343
SLC35D1,23169
SLC37A4,2542
SLC38A3,10991
SLC39A14,23516
SLC39A4,55630
SLC39A8,64116
SLC3A1,6519
SLC40A1,30061
SLC46A1,113235
SLC4A10,57282
SLC4A4,8671
SLC52A2,79581
SLC52A3,113278
SLC5A1,6523
SLC5A6,8884
SLC6A1,6529
SLC6A17,388662
SLC6A19,340024
SLC6A3,6531
SLC6A8,6535
SLC6A9,6536
SLC7A7,9056
SLC7A9,11136
SLC9A6,10479
SLX4,84464
SMAD4,4089
SMARCA2,6595
SMARCA4,6597
SMARCA5,8467
SMARCB1,6598
SMARCC2,6601
SMARCD1,6602
SMARCE1,6605
SMC1A,8243
SMC3,9126
SMCO3,440087
SMG8,55181
SMOC1,64093
SMPD1,6609
SMPD4,55627
SMS,6611
SNAP25,6616
SNAP29,9342
SNF8,11267
SNIP1,79753
SNORD118,727676
SNRPB,6628
SNX14,57231
SNX27,81609
SON,6651
SOS1,6654
SOS2,6655
SOX10,6663
SOX11,6664
SOX2,6657
SOX4,6659
SOX5,6660
SOX6,55553
SPART,23111
SPECC1L,23384
SPEN,23013
SPG11,80208
SPG7,6687
SPOP,8405
SPR,6697
SPRED1,161742
SPRED2,200734
SPTAN1,6709
SPTBN1,6711
SPTBN2,6712
SPTBN4,57731
SPTLC1,10558
SPTLC2,9517
SRCAP,10847
SRD5A3,79644
SRPK3,26576
SRRM2,23524
SRSF1,6426
SSBP1,6742
SSR4,6748
ST3GAL3,6487
ST3GAL5,8869
