Gene list name:,Hipotonia Heranca AR
Gene list ID:,5562
Number of genes:,1182

Gene Name,NCBI ID
EXTL3,2137
FA2H,79152
FAH,2184
FAM177A1,283635
FAM20C,56975
FARS2,10667
FARSA,2193
FASTKD2,22868
FAT4,79633
FBP1,2203
FBXL3,26224
FBXL4,26235
FCSK,197258
FDX2,112812
FDXR,2232
FECH,2235
FH,2271
FIBP,9158
FIG4,9896
FILIP1,27145
FKBP14,55033
FKRP,79147
FKTN,2218
FLAD1,80308
FLVCR2,55640
FMN2,56776
FMO3,2328
FOLR1,2348
FOXRED1,55572
FRA10AC1,118924
FTCD,10841
FUCA1,2517
FUT8,2530
FXN,2395
FXR1,8087
G6PC1,2538
G6PC3,92579
GAA,2548
GAD1,2571
GALC,2581
GALE,2582
GALK1,2584
GALM,130589
GALNS,2588
GALNT2,2590
GALNT3,2591
GALT,2592
GAMT,2593
GAN,8139
GATM,2628
GBA1,2629
GBE1,2632
GCDH,2639
GCLC,2729
GCSH,2653
GEMIN4,50628
GEMIN5,25929
GFER,2671
GFM1,85476
GFM2,84340
GFPT1,2673
GGPS1,9453
GJC2,57165
GLB1,2720
GLDC,2731
GLIS3,169792
GLRX5,51218
GLS,2744
GLUL,2752
GLYCTK,132158
GM2A,2760
GMPPA,29926
GMPPB,29925
GNB5,10681
GNE,10020
GNMT,27232
GNPAT,8443
GNPTAB,79158
GNPTG,84572
GNS,2799
GOLGA2,2801
GORAB,92344
GOSR2,9570
GPAA1,8733
GPD1,2819
GPIHBP1,338328
GPT2,84706
GRHPR,9380
GRID2,2895
GRM1,2911
GRM7,2917
GRN,2896
GSS,2937
GSTZ1,2954
GTF2E2,2961
GTF2H5,404672
GTF3C5,9328
GTPBP2,54676
GTPBP3,84705
GUSB,2990
GYG1,2992
GYS1,2997
GYS2,2998
HAAO,23498
HACD1,9200
HACE1,57531
HADH,3033
HADHA,3030
HADHB,3032
HAMP,57817
HARS2,23438
HECTD4,283450
HERC1,8925
HERC2,8924
HEXA,3073
HEXB,3074
HFE,3077
HGD,3081
HGSNAT,138050
HIBCH,26275
HID1,283987
HLCS,3141
HMGCL,3155
HMGCR,3156
HMGCS2,3158
HNMT,3176
HOGA1,112817
HOXA1,3198
HPDL,84842
HPS1,3257
HS2ST1,9653
HSD17B4,3295
HSD3B7,80270
HSPA9,3313
HSPD1,3329
HTRA2,27429
HYAL1,3373
HYCC1,84668
IARS1,3376
IARS2,55699
IBA57,200205
IDUA,3425
IER3IP1,51124
IFT172,26160
IGF1,3479
IGF1R,3480
IGHMBP2,3508
INPP5E,56623
INPP5K,51763
INTS1,26173
INTS11,54973
IREB2,3658
IRX5,10265
ISCA1,81689
ISCA2,122961
ISCU,23479
ITGA7,3679
ITPA,3704
IVD,3712
JAG2,3714
JAM3,83700
KARS1,3735
KCNJ10,3766
KCTD3,51133
KCTD7,154881
KIAA0586,9786
KIF14,9928
KIF7,374654
KIFBP,26128
KLHL40,131377
KLHL41,10324
KLHL7,55975
KNL1,57082
KPTN,11133
KY,339855
KYNU,8942
L2HGDH,79944
LAMA1,284217
LAMA2,3908
LAMB1,3912
LAMC3,10319
LARGE1,9215
LARP7,51574
LARS1,51520
LARS2,23395
LCAT,3931
LCT,3938
LDHA,3939
LDLRAP1,26119
LETM1,3954
LFNG,3955
LGI3,203190
LIAS,11019
LIG4,3981
LINGO4,339398
LINS1,55180
LIPA,3988
LIPT1,51601
LIPT2,387787
LMBRD1,55788
LMF1,64788
LMOD3,56203
LONP1,9361
LPIN1,23175
LRP2,4036
LRP4,4038
LRPPRC,10128
LSS,4047
LYRM4,57128
LYRM7,90624
MAB21L1,4081
MACO1,55219
MADD,8567
MAN1B1,11253
MAN2B1,4125
MAN2C1,4123
MANBA,4126
MAP3K20,51776
MAPKAPK5,8550
MARS2,92935
MASP1,5648
MBOAT7,79143
MCCC1,56922
MCCC2,64087
MCEE,84693
MCM3AP,8888
MCOLN1,57192
MCPH1,79648
MDH2,4191
MECR,51102
MED11,400569
MED17,9440
MED23,9439
MED25,81857
MED27,9442
MEGF10,84466
METTL23,124512
METTL5,29081
MFF,56947
MFSD2A,84879
MFSD8,256471
MGAT2,4247
MGME1,92667
MICOS13,125988
MICU1,10367
MINPP1,9562
MIPEP,4285
MKKS,8195
MKS1,54903
MLC1,23209
MLIP,90523
MLYCD,23417
MMAA,166785
MMAB,326625
MMACHC,25974
MMADHC,27249
MMUT,4594
MOCS1,4337
MOCS2,4338
MOGS,7841
MPC1,51660
MPDU1,9526
MPI,4351
MPLKIP,136647
MPV17,4358
MRM2,29960
MRPL3,11222
MRPL44,65080
MRPS2,51116
MRPS22,56945
MRPS34,65993
MSMO1,6307
MSTO1,55154
MTFMT,123263
MTHFR,4524
MTHFS,10588
MTO1,25821
MTPAP,55149
MTR,4548
MTREX,23517
MTRFR,91574
MTRR,4552
MTTP,4547
MUSK,4593
MVK,4598
MYL1,4632
MYL2,4633
MYMK,389827
MYMX,101929726
MYO18B,84700
MYO5A,4644
MYO9A,4649
MYOD1,4654
MYPN,84665
NADK2,133686
NAGA,4668
NAGLU,4669
NAGS,162417
NANS,54187
NAPB,63908
NARS2,79731
NAXD,55739
NAXE,128240
NDE1,54820
NDST1,3340
NDUFA10,4705
NDUFA11,126328
NDUFA12,55967
NDUFA13,51079
NDUFA2,4695
NDUFA6,4700
NDUFA8,4702
NDUFA9,4704
NDUFAF1,51103
NDUFAF2,91942
NDUFAF3,25915
NDUFAF4,29078
NDUFAF5,79133
NDUFAF6,137682
NDUFAF8,284184
NDUFB10,4716
NDUFB3,4709
NDUFB8,4714
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS6,4726
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV2,4729
NEB,4703
NEMF,9147
NEU1,4758
NEUROG1,4762
NFASC,23114
NFS1,9054
NFU1,27247
NGLY1,55768
NHLRC1,378884
NNT,23530
NPC1,4864
NPC2,10577
NPHP1,4867
NRCAM,4897
NRROS,375387
NSRP1,84081
NSUN2,54888
NSUN3,63899
NT5C2,22978
NT5C3A,51251
NT5E,4907
NTNG2,84628
NTRK1,4914
NUBPL,80224
NUDT2,318
NUP214,8021
OAT,4942
OBSCN,84033
OCLN,100506658
OGDH,4967
OGDHL,55753
OPA3,80207
OSGEP,55644
OTUD6B,51633
OTUD7A,161725
OXCT1,5019
OXR1,55074
P4HTM,54681
PAH,5053
PAN2,9924
PANK2,80025
PARN,5073
PARS2,25973
PAX7,5081
PC,5091
PCBD1,5092
PCCA,5095
PCCB,5096
PCDH12,51294
PCDHGC4,56098
PCK1,5105
PCNT,5116
PCYT2,5833
PDHB,5162
PDHX,8050
PDP1,54704
PDSS1,23590
PDSS2,57107
PDZD8,118987
PEPD,5184
PET100,100131801
PEX1,5189
PEX10,5192
PEX11B,8799
PEX12,5193
PEX13,5194
PEX14,5195
PEX16,9409
PEX19,5824
PEX2,5828
PEX26,55670
PEX3,8504
PEX5,5830
PEX7,5191
PFKM,5213
PGAM2,5224
PGAP1,80055
PGAP2,27315
PGAP3,93210
PGM1,5236
PGM2L1,283209
PGM3,5238
PHGDH,26227
PHKB,5257
PHKG2,5261
PHYH,5264
PI4K2A,55361
PI4KA,5297
PIBF1,10464
PIDD1,55367
PIGB,9488
PIGC,5279
PIGG,54872
PIGH,5283
PIGK,10026
PIGL,9487
PIGM,93183
PIGN,23556
PIGO,84720
PIGP,51227
PIGQ,9091
PIGS,94005
PIGT,51604
PIGU,128869
PIGV,55650
PIGW,284098
PINK1,65018
PITRM1,10531
PLA2G6,8398
PLAA,9373
PLCB1,23236
PLEC,5339
PLEKHG2,64857
PLK1,5347
PLK4,10733
PLPBP,11212
PLXNB2,23654
PMM2,5373
PMPCA,23203
PMPCB,9512
PNKP,11284
PNP,4860
PNPLA2,57104
PNPLA6,10908
PNPLA8,50640
PNPO,55163
PNPT1,87178
POGLUT1,56983
POLG,5428
POLR1C,9533
POLR3A,11128
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
POPDC1,11149
POPDC3,64208
POR,5447
PPA2,27068
PPFIBP1,8496
PPIL1,51645
PPP1R15B,84919
PPP1R21,129285
PPT1,5538
PRDM13,59336
PRMT7,54496
PRODH,5625
PRSS12,8492
PRUNE1,58497
PSAP,5660
PSAT1,29968
PSPH,5723
PTCD3,55037
PTF1A,256297
PTPN23,25930
PTRHD1,391356
PTS,5805
PUS1,80324
PUS3,83480
PUS7,54517
PYCR1,5831
PYCR2,29920
PYGL,5836
PYGM,5837
PYROXD1,79912
QARS1,5859
QDPR,5860
QRSL1,55278
RAB18,22931
RAB23,51715
RAB3GAP1,22930
RAB3GAP2,25782
RALGAPA1,253959
RAPSN,5913
RARS1,5917
RARS2,57038
RBBP8,5932
RBCK1,10616
RBL2,5934
RBSN,64145
RFC4,5984
RFT1,91869
RMND1,55005
RNASEH1,246243
RNASEH2A,10535
RNASEH2B,79621
RNASEH2C,84153
RNASET2,8635
RNU7-1,100147744
ROBO1,6091
ROGDI,79641
RPGRIP1L,23322
RPIA,22934
RRM2B,50484
RSRC1,51319
RTEL1,51750
RTN4IP1,84816
RTTN,25914
RYR3,6263
SACS,26278
SAMHD1,25939
SAR1B,51128
SARS1,6301
SARS2,54938
SBF1,6305
SC5D,6309
SCAPER,49855
SCN4A,6329
SCO1,6341
SCO2,9997
SCP2,6342
SCYL1,57410
SDCCAG8,10806
SDHA,6389
SDHAF1,644096
SDHB,6390
SDHD,6392
SEC23B,10483
SELENON,57190
SEPSECS,51091
SERAC1,84947
SFXN4,119559
SGCA,6442
SGCB,6443
SGCD,6444
SGCG,6445
SGPL1,8879
SGSH,6448
SHMT2,6472
SHQ1,55164
SI,6476
SIL1,64374
SKIC3,9652
SLC12A3,6559
SLC12A5,57468
SLC12A6,9990
SLC13A3,64849
SLC13A5,284111
SLC17A5,26503
SLC18A2,6571
SLC18A3,6572
SLC19A2,10560
SLC19A3,80704
SLC1A1,6505
SLC1A4,6509
SLC22A5,6584
SLC25A1,6576
SLC25A12,8604
SLC25A13,10165
SLC25A15,10166
SLC25A19,60386
SLC25A20,788
SLC25A22,79751
SLC25A26,115286
SLC25A3,5250
SLC25A32,81034
SLC25A38,54977
SLC25A42,284439
SLC25A46,91137
SLC2A2,6514
SLC30A10,55532
SLC30A9,10463
SLC33A1,9197
SLC35A1,10559
SLC35C1,55343
SLC35D1,23169
SLC38A3,10991
SLC39A14,23516
SLC39A4,55630
SLC39A8,64116
SLC46A1,113235
SLC4A10,57282
SLC4A4,8671
SLC52A2,79581
SLC52A3,113278
SLC5A1,6523
SLC5A6,8884
SLC5A7,60482
SLC6A17,388662
SLC6A19,340024
SLC6A3,6531
SLC6A9,6536
SLC7A7,9056
SLX4,84464
SMG8,55181
SMN1,6606
SMOC1,64093
SMPD1,6609
SMPD4,55627
SNAP29,9342
SNF8,11267
SNIP1,79753
SNORD118,727676
SNUPN,10073
SNX14,57231
SNX27,81609
SPART,23111
SPEG,10290
SPG11,80208
SPR,6697
SPRED2,200734
SPTBN2,6712
SPTBN4,57731
SRD5A3,79644
ST3GAL3,6487
ST3GAL5,8869
STAC3,246329
STAMBP,10617
STIL,6491
STRA6,64220
STRADA,92335
SUCLA2,8803
SUCLG1,8802
SUMF1,285362
SUOX,6821
SURF1,6834
SVBP,374969
SYNJ1,8867
SZT2,23334
TACO1,51204
TAF2,6873
TAF6,6878
TAF8,129685
TALDO1,6888
TAMM41,132001
TANGO2,128989
TARS2,80222
TASP1,55617
TAT,6898
TBC1D20,128637
TBC1D23,55773
TBC1D24,57465
TBC1D2B,23102
TBC1D7,51256
TBCD,6904
TBCE,6905
TBCK,93627
TCAP,8557
TCN2,6948
TCTN2,79867
TCTN3,26123
TDP2,51567
TECPR2,9895
TEFM,79736
TELO2,9894
TENM3,55714
TFAM,7019
TFR2,7036
TH,7054
THOC6,79228
THUMPD1,55623
TIAM1,7074
TIMM50,92609
TIMMDC1,51300
TK2,7084
TMCO1,54499
TMEM126B,55863
TMEM147,10430
TMEM165,55858
TMEM216,51259
TMEM222,84065
TMEM237,65062
TMEM63C,57156
TMEM67,91147
TMEM70,54968
TMEM94,9772
TMTC3,160418
TMX2,51075
TNNI1,7135
TOE1,114034
TOP3A,7156
TOR1A,1861
TOR1AIP1,26092
TP73,7161
TPK1,27010
TPP1,1200
TPP2,7174
TRAIP,10293
TRAP1,10131
TRAPPC11,60684
TRAPPC12,51112
TRAPPC4,51399
TRAPPC6B,122553
TRAPPC9,83696
TRDN,10345
TRIM32,22954
TRIM37,4591
TRIP4,9325
TRIT1,54802
TRMT1,55621
TRMT10A,93587
TRMT10C,54931
TRMT5,57570
TRMU,55687
TRNT1,51095
TRPM6,140803
TSEN2,80746
TSEN34,79042
TSEN54,283989
TSFM,10102
TSHB,7252
TSPOAP1,9256
TTC19,54902
TTC5,91875
TTC8,123016
TTI1,9675
TTI2,80185
TTN,7273
TTPA,7274
TUBGCP6,85378
TUFM,7284
TUSC3,7991
TYMP,1890
UBA5,79876
UBE3B,89910
UBE4A,9354
UBR1,197131
UBR7,55148
UFM1,51569
UFSP2,55325
UGDH,7358
UGP2,7360
UGT1A1,54658
UMPS,7372
UNC45B,146862
UNC80,285175
UPB1,51733
UQCC2,84300
UQCRB,7381
UQCRC2,7385
UQCRFS1,7386
UROC1,131669
UROS,7390
VAMP1,6843
VARS1,7407
VARS2,57176
VIPAS39,63894
VLDLR,7436
VMA12,147007
VMA22,84317
VPS11,55823
VPS13B,157680
VPS16,64601
VPS33A,65082
VPS33B,26276
VPS41,27072
VPS53,55275
VRK1,7443
WARS2,10352
WDPCP,51057
WDR4,10785
WDR45B,56270
WDR62,284403
WDR73,84942
WDR81,124997
WDR83OS,51398
WIPI2,26100
WNT1,7471
WWOX,51741
XDH,7498
XPNPEP3,63929
XRCC4,7518
XYLT1,64131
XYLT2,64132
YARS2,51067
YIF1B,90522
YIPF5,81555
ZBTB24,9841
ZFYVE26,23503
ZNF142,7701
ZNF335,63925
ZNF526,116115
ZNF699,374879
ZNFX1,57169
